symbol,Atomic_Number,Row,Column,NsValence,NpValence,NdValence,NfValence,NValence,NsUnfilled,NpUnfilled,NdUnfilled,NfUnfilled,NUnfilled,families,Metal,Nonmetal,Metalliod,Mendeleev_Number,l_quantum_number,metallic_valence,atomic weight,atomic radius,covalent radius,Zunger_radii_sum,Ionic radius,crystal radius,electronegativity,Gordy_electonegativity,Ionization Energy,polarizability(A^3),melting point,boiling point,density,specific heat,heat of fusion,heat of vaporization,thermal conductivity,heat_atomization(kJ/mol),cohensive energy,GSvolume_pa,GSbandgap,GSmagmom,SpaceGroupNumber
Y,39,5,3,2,0,1,0,3,0,0,9,0,9,3,1,0,0,12,2,3,88.90584,219,163,2.94,1.85,1.04,1.22,3.4043,6.217,22.7,1795,3618,4.47,298,11.4,380,17,423,4.37,32.365,0,0,194
Zr,40,5,4,2,0,2,0,4,0,0,8,0,8,4,1,0,0,44,2,4,91.22,186,154,2.825,1.55,0.86,1.33,3.4521,6.634,17.9,2128,4682,6.52,278,21,580,23,609,6.25,23.195,0,0,194
Nb,41,5,5,1,0,4,0,5,1,0,6,0,7,4,1,0,0,47,2,5,92.90637,207,147,2.76,1.45,0.78,1.6,3.5023,6.759,15.7,2750,5017,8.57,265,26.8,690,54,726,7.57,18.18,0,0,229
Mo,42,5,6,1,0,5,0,6,1,0,5,0,6,4,1,0,0,50,2,5.78,95.95,209,138,2.72,1.45,0.79,2.16,3.5548,7.092,12.8,2896,4912,10.2,251,36,600,139,658,6.82,15.69,0,0,229
Tc,43,5,7,2,0,5,0,7,0,0,5,0,5,4,1,0,0,53,2,5.78,96.90636,209,128,2.65,1.35,0.79,1.9,3.6096,7.28,11.4,2430,4538,11,63,23,550,51,677,6.85,14.285,0,0,194
Ru,44,5,8,1,0,7,0,8,1,0,3,0,4,4,1,0,0,56,2,5.78,101.1,207,125,2.605,1.3,0.82,2.2,3.6668,7.361,9.6,2607,4423,12.1,238,25.7,580,120,643,6.74,13.51,0,0,194
Rh,45,5,9,1,0,8,0,9,1,0,2,0,3,4,1,0,0,59,2,5.78,102.9055,195,125,2.52,1.35,0.81,2.28,3.7262,7.459,8.6,2237,3968,12.4,240,21.7,495,150,556,5.75,13.64,0,0,225
Pd,46,5,10,0,0,10,0,10,0,0,0,0,0,4,1,0,0,62,2,5.78,106.42,202,120,2.45,1.4,0.78,2.2,3.788,8.337,4.8,1828.05,3236,12,240,16.7,380,72,378,3.89,14.41,0,0,225
Ag,47,5,11,1,0,10,0,11,1,0,0,0,1,4,1,0,0,65,0,5.44,107.868,172,128,2.375,1.6,1.29,1.93,3.8522,7.576,7.9,1234.93,2435,10.501,235,11.3,255,430,284,2.95,16.33,0,0,225
Cd,48,5,12,2,0,10,0,12,0,0,0,0,0,4,1,0,0,70,0,4.44,112.41,158,136,2.215,1.55,0.92,1.69,3.9187,8.994,7.2,594.22,1040,8.69,230,6.3,100,97,112,1.16,19.495,0,0,194
In,49,5,13,2,1,10,0,13,0,5,0,0,5,5,1,0,0,75,1,3.44,114.818,193,142,2.05,1.55,0.94,1.78,4.2337,5.786,9.7,429.75,2345,7.31,233,3.26,230,82,243,2.52,24.26,0,0,139
Sn,50,5,14,2,2,10,0,14,0,4,0,0,4,5,1,0,0,80,1,4,118.71,217,140,1.88,1.45,0.69,1.96,4.5926,7.344,7.7,505.08,2875,7.287,217,7,290,67,302,3.14,33.285,0,0,141
Sb,51,5,15,2,3,10,0,15,0,3,0,0,3,6,0,1,0,85,1,3,121.76,206,140,1.765,1.45,0.9,2.05,4.9953,8.64,6.6,903.78,1860,6.685,207,19.7,68,24,262,2.75,31.56,0,0,166
Te,52,5,16,2,4,10,0,16,0,2,0,0,2,6,0,1,0,90,1,2,127.6,206,136,1.67,1.4,1.11,2.1,5.4418,9.01,5.5,722.66,1261,6.232,201,17.5,48,3,197,2.19,34.76333333,0.464,0,152
I,53,5,17,2,5,10,0,17,0,1,0,0,1,8,0,1,0,96,1,0,126.9045,198,133,1.585,1.4,2.06,2.66,5.9319,10.451,5,386.85,457.55,4.93,429,7.76,20.9,0.449,107,1.11,43.015,1.062,0,64
Cs,55,6,1,1,0,0,0,1,1,0,0,0,1,1,1,0,0,5,0,1,132.905452,343,232,4.31,2.6,1.81,0.79,4.4326,3.894,59.6,301.59,944,1.93,242,2.09,65,36,79,0.804,115.765,0,0,229
Ba,56,6,2,2,0,0,0,2,0,0,0,0,0,2,1,0,0,9,0,2,137.33,268,196,3.402,2.15,1.49,0.89,4.4699,5.212,39.7,1000,2170,3.62,205,8,140,18,180,1.9,63.59,0,0,229
