symbol,atomic radius,Ionic radius,crystal radius,atomic weight,boiling point,density,specific heat,heat of fusion,heat of vaporization,thermal conductivity,cohensive energy,melting point,electronegativity,GSvolume_pa,space group number,Ionization Energy,Electron affinity,Number,MendeleevNumber,Column,Row,NsValence,NpValence,NdValence,NfValence,NValence,NsUnfilled,NpUnfilled,NdUnfilled,NfUnfilled,NUnfilled,GSbandgap,GSmagmom
Rh,195,1.35,0.81,102.9055,3968,12.4,240,21.7,495,150,5.75,2237,2.28,13.64,225,7.459,110.27,45,59,9,5,1,0,8,0,9,1,0,2,0,3,0,0
Pd,202,1.4,0.78,106.42,3236,12,240,16.7,380,72,3.89,1828.05,2.2,14.41,225,8.337,54.24,46,62,10,5,0,0,10,0,10,0,0,0,0,0,0,0
Ag,172,1.6,1.29,107.868,2435,10.501,235,11.3,255,430,2.95,1234.93,1.93,16.33,225,7.576,125.862,47,65,11,5,1,0,10,0,11,1,0,0,0,1,0,0
Cd,158,1.55,0.92,112.41,1040,8.69,230,6.3,100,97,1.16,594.22,1.69,19.495,194,8.994,-68,48,70,12,5,2,0,10,0,12,0,0,0,0,0,0,0
In,193,1.55,0.94,114.818,2345,7.31,233,3.26,230,82,2.52,429.75,1.78,24.26,139,5.786,37.043,49,75,13,5,2,1,10,0,13,0,5,0,0,5,0,0
Sn,217,1.45,0.69,118.71,2875,7.287,217,7,290,67,3.14,505.08,1.96,33.285,141,7.344,107.298,50,80,14,5,2,2,10,0,14,0,4,0,0,4,0,0
Sb,206,1.45,0.9,121.76,1860,6.685,207,19.7,68,24,2.75,903.78,2.05,31.56,166,8.64,101.059,51,85,15,5,2,3,10,0,15,0,3,0,0,3,0,0
Te,206,1.4,1.11,127.6,1261,6.232,201,17.5,48,3,2.19,722.66,2.1,34.76333333,152,9.01,190.161,52,90,16,5,2,4,10,0,16,0,2,0,0,2,0.464,0
I,198,1.4,2.06,126.9045,457.55,4.93,429,7.76,20.9,0.449,1.11,386.85,2.66,43.015,64,10.451,295.153,53,96,17,5,2,5,10,0,17,0,1,0,0,1,1.062,0
Xe,216,1.08,0.62,131.29,165.03,0.005887,158.32,2.3,12.64,0.00565,0.16,161.36,2.6,53.65,225,12.13,-77,54,102,18,5,2,6,10,0,18,0,0,0,0,0,6.456,0
Cs,343,2.6,1.81,132.905452,944,1.93,242,2.09,65,36,0.804,301.59,0.79,115.765,229,3.894,45.505,55,5,1,6,1,0,0,0,1,1,0,0,0,1,0,0
Ba,268,2.15,1.49,137.33,2170,3.62,205,8,140,18,1.9,1000,0.89,63.59,229,5.212,13.954,56,9,2,6,2,0,0,0,2,0,0,0,0,0,0,0
La,240,1.95,1.36,138.9055,3737,6.15,195,6.2,400,13,4.47,1191,1.1,36.8975,194,5.577,53.795,57,13,3,6,2,0,1,0,3,0,0,9,0,9,0,0
Ce,235,1.85,1.15,140.116,3697,6.77,192,5.5,350,11,4.32,1071,1.12,37.24,194,5.539,57.906,58,15,3,6,2,0,1,1,4,0,0,9,13,22,0,0
Pr,239,1.85,1.32,140.90766,3793,6.77,193,6.9,330,13,3.7,1204,1.13,35.675,194,5.464,10.539,59,17,3,6,2,0,0,3,5,0,0,0,11,11,0,0
Nd,229,1.85,1.3,144.24,3347,7.01,190,7.1,285,17,3.4,1294,1.14,34.81,194,5.525,9.406,60,19,3,6,2,0,0,4,6,0,0,0,10,10,0,0
Pm,236,1.85,1.28,144.91276,3273,7.26,,7.7,290,15,,1315,1.13,33.8425,,5.55,12.45,61,21,3,6,2,0,0,5,7,0,0,0,9,9,0,0
Sm,229,1.85,1.1,150.4,2067,7.52,196,8.6,175,13,2.14,1347,1.17,33.23,166,5.644,15.63,62,23,3,6,2,0,0,6,8,0,0,0,8,8,0,0
Eu,233,1.85,1.31,151.964,1802,5.24,182,9.2,175,14,1.86,1095,1.2,36.46,229,5.67,11.2,63,25,3,6,2,0,0,7,9,0,0,0,7,7,0,0
Gd,237,1.8,1.08,157.2,3546,7.9,240,10,305,11,4.14,1586,1.2,32.05,194,6.15,20.5,64,27,3,6,2,0,1,7,10,0,0,9,7,16,0,0
